Predicted,Actual
919.7390000000001,923.88
4256.55,4235.35
2150.543,2098.12
3820.1590000000006,3921.42
3933.9,4049.41
1823.1200000000001,1839.77
3135.1500000000005,3157.95
1499.777,1515.41
13405.735000000004,13229.01
14095.289999999999,14271.47
16343.200999999997,16355.69
2501.3010000000004,2498.72
7051.067999999999,6743.59
2188.186,2247.23
5193.005000000001,5157.88
3114.6800000000003,3160.15
1780.9329999999998,1776.32
854.6899999999999,870.77
963.722,970.78
2659.8759999999997,2649.89
1069.966,1050.35
8667.207,8655.43
4307.879999999999,4332.96
2542.7,2557.45
473.35200000000003,467.39
2890.856,2943.2
1899.123,1994.83
3184.897,3112.68
18078.924,16618.38
4251.780000000001,4213.21
2278.2630000000004,2300.85
4234.329,4274.35
7335.209,7408.49
7117.062,6674.93
4396.910000000001,4516.57
25333.741,21392.59
1300.592,1353.39
2125.268,2122.54
10648.396999999999,11123.41
672.161,688.06
7831.511,7182.36
8058.608,7809.23
796.4639999999999,797.7
3164.1130000000003,3311.87
3501.7019999999998,3509.67
7594.181999999999,7365.66
1387.846,1373.76
2184.09,2074.8
2212.608,2209.3
831.351,826.5
2848.1130000000003,2960.86
1374.2010000000002,1412.03
